"LIBRARYREFERENCE","FOOTPRINT1","BUILT_BY","C","CAPACITANCE","CASE CODE (IMPERIAL)","CASE CODE (METRIC)","CASE/PACKAGE","COMMENT","COMPONENTLINK10DESCRIPTION","COMPONENTLINK10URL","COMPONENTLINK11DESCRIPTION","COMPONENTLINK11URL","COMPONENTLINK12DESCRIPTION","COMPONENTLINK12URL","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPONENTLINK4DESCRIPTION","COMPONENTLINK4URL","COMPONENTLINK5DESCRIPTION","COMPONENTLINK5URL","COMPONENTLINK6DESCRIPTION","COMPONENTLINK6URL","COMPONENTLINK7DESCRIPTION","COMPONENTLINK7URL","COMPONENTLINK8DESCRIPTION","COMPONENTLINK8URL","COMPONENTLINK9DESCRIPTION","COMPONENTLINK9URL","COMPOSITION","CONTACT PLATING","CORE ARCHITECTURE","DATA BUS WIDTH","DEPTH","DIELECTRIC","FREQUENCY","HEIGHT","INTERFACE","LATESTREVISIONDATE","LATESTREVISIONNOTE","LEAD FREE","LENGTH","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER_PART_NUMBER","MAX FREQUENCY","MAX OPERATING TEMPERATURE","MAX POWER DISSIPATION","MAX SUPPLY VOLTAGE","MEMORY SIZE","MEMORY TYPE","MILITARY STANDARD","MIN OPERATING TEMPERATURE","MIN SUPPLY VOLTAGE","MOUNT","NCM","NUMBER OF A/D CONVERTERS","NUMBER OF I/OS","NUMBER OF PINS","NUMBER OF PROGRAMMABLE I/O","NUMBER OF TERMINATIONS","NUMBER OF TIMERS/COUNTERS","NUMBER OF UART CHANNELS","OSCILLATOR TYPE","PACKAGE QUANTITY","PACKAGING","PARTNUMBER","PERIPHERALS","POWER RATING","PRICING 1","PUBLISHER","RADIATION HARDENING","RAM SIZE","REACH SVHC","REFDES","RESISTANCE","STOCK 1","STOCK 2","SUPPLIER 1","SUPPLIER 2","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","TEMPERATURE COEFFICIENT","TERMINATION","THICKNESS","TOLERANCE","TYPE","VALUE","VENDOR","VOLTAGE RATING","VOLTAGE RATING (DC)","WATCHDOG TIMER","WEIGHT","WIDTH","SHEETPART","DESIGNATOR","DESCRIPTION"
"CBR04C120F5GAC","Cap_12pf","","","12pF","0402","1005","0402","12pF/50V","","","","","","","https://api.kemet.com/component-edge/download/datasheet/CBR04C120F5GAC.pdf?src-supplier=Digi-Key","https://api.kemet.com/component-edge/download/datasheet/CBR04C120F5GAC.pdf?src-supplier=Digi-Key","","","","","","","","","","","","","","","","","","Tin,Matte","","","","C0G","","","","","","","0.039inch","KEMET","CBR04C120F5GAC","","","125°C","","","","","","-55°C","","Surface Mount","","","","","","","","","","1","Tape and Reel","","","","","","","","","","","0","","Newark","","27AC1397","","","Wraparound","0.022inch","1%","","","","50V","50V","","","0.02inch","*","C?","KEMET - CBR04C120F5GAC - Capacitor, RF, C0G / NP0, 12 pF, 50 V, HiQ-CBR Series, ± 1%, 125 °C, 0402 [1005 Metric]"
"Cap 2.2nF/16V_0402","GRM155R71C222KA01D","EMA_UL_Team","Copyright (C) 2015 Accelerated Designs. All rights reserved","2.2nF","0402","1005","0402","2.2nF","","","","","","","https://datasheet.ciiva.com/5412/product-5412216.pdf","https://datasheet.ciiva.com/5412/product-5412216.pdf","https://datasheet.ciiva.com/6263/partnumbering-e-01-6263624.pdf","https://datasheet.ciiva.com/6263/partnumbering-e-01-6263624.pdf","https://datasheet.ciiva.com/6263/partnumbering-e-01-6263627.pdf","https://datasheet.ciiva.com/6263/partnumbering-e-01-6263627.pdf","https://datasheet.ciiva.com/17453/product-17453067.pdf","https://datasheet.ciiva.com/17453/product-17453067.pdf","https://datasheet.ciiva.com/11620/product-11620860.pdf","https://datasheet.ciiva.com/11620/product-11620860.pdf","https://datasheet.ciiva.com/6263/partnumbering-e-01-6263630.pdf","https://datasheet.ciiva.com/6263/partnumbering-e-01-6263630.pdf","","","","","","","","","","","0.5mm","X7R","","0.5mm","","","","Lead Free","1mm","Murata","GRM155R71C222KA01D","GRM155R71C222KA01D","","125°C","","","","","","-55°C","","Surface Mount","","","","","","","","","","10000","Tape and Reel","","","","1=0.1, 10=0.03, 100=0.0134, 500=0.0096, 1000=0.0075, 2500=0.0068, 5000=0.0063 (USD)","","No","","","RefDes","","125973","","Digi-Key","","490-6330-1-ND","","","SMD/SMT","0.022inch","10%","DEV","Value","Murata","16V","16V","","","0.02inch","*","C?","Imported"
"Cap_Cer_X7R_0.1uF_25V_0805","C0402_MD","","","","","","","0.1uF/25V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8532.24.10","","","","","","","","","","","CC0805KRX7R8BB104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C?","CAP CER 0.1UF 25V 10% X7R 0805"
"Cap_Cer_X7R_0.47uF_50V_0805","C0805_MD","","","","","","","0.47uF/50V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8532.24.10","","","","","","","","","","","C0805C474K5RACTU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C?","CAP CER 0.47UF 50V 10% X7R 0805"
"Cap_Cer_X7R_10pF_100V_0805","C0805_MD","","","","","","","10pF/100V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8532.24.10","","","","","","","","","","","08051A100FAT2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C?","CAP CER 10pF 100V 0805"
"Cap_Cer_X7R_1nF_16V_0603","C0603_MD","","","","","","","1nF/16V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8532.24.10","","","","","","","","","","","C0603X102J4RECAUTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C?","CAP CER 1nF 16V 0603 5%"
"FB_30R_3A_100MHz_0805","L0805","","","","","","","30R@100Mhz, 3A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8504.50.00","","","","","","","","","","","BLM21PG300SN1D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L?","Ferrite Bead 30 OHM 3A 100MHz"
"Header 2","HEADER 2M 2.54mm 180 GRAUS","","","","","","","Header 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","","","","","","","","","","","","","","","","","","","","","","","826646-2","","","","Altium Limited","","","","","","","","","","","","","","","","","","","","","","","","","CN?","Header, 2-Pin"
"Header 6H_PicoBlade","PICO BLADE 0532610671","","","","","","","Header 6H_PicoBlade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","","","","","","","","","","","","","","","","","","","","","","","53398-0671","","","","Altium Limited","","","","","","","","","","","","","","","","","","","","","","","","","CN?","Header, 6-Pin, Right Angle"
"LED/G_0805","L0805 GREEN","","","","","","","DNP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8541.40.21","","","","","","","","","","","LTST-C171GKT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D?","SMD Green LED"
